key,source_master,runtime_file,status,usage,duration_sec,sample_rate_hz,master_channels,runtime_channels,runtime_resource_path
ammo_empty,ammo_empty.wav,ammo_empty_v001.ogg,正式接入,空仓扳机,0.160,44100,1,2,res://src/assets/audio/sfx/ammo_empty_v001.ogg
boss_defeat,boss_defeat.wav,boss_defeat_v001.ogg,正式接入,Boss击败,1.450,44100,1,2,res://src/assets/audio/sfx/boss_defeat_v001.ogg
boss_intro,boss_intro.wav,boss_intro_v001.ogg,正式接入,Boss入场,1.550,44100,1,2,res://src/assets/audio/sfx/boss_intro_v001.ogg
boss_phase,boss_phase.wav,boss_phase_v001.ogg,正式接入,Boss阶段切换,0.820,44100,1,2,res://src/assets/audio/sfx/boss_phase_v001.ogg
container_open,container_open.wav,container_open_v001.ogg,正式接入,计时搜索完成,0.620,44100,1,2,res://src/assets/audio/sfx/container_open_v001.ogg
crit_hit,crit_hit.wav,crit_hit_v001.ogg,正式接入,暴击,0.340,44100,1,2,res://src/assets/audio/sfx/crit_hit_v001.ogg
door_locked,door_locked.wav,door_locked_v001.ogg,正式接入,门锁定或条件不足,0.310,44100,1,2,res://src/assets/audio/sfx/door_locked_v001.ogg
door_open,door_open.wav,door_open_v001.ogg,正式接入,门开启,0.750,44100,1,2,res://src/assets/audio/sfx/door_open_v001.ogg
enemy_die,enemy_die.wav,enemy_die_v001.ogg,正式接入,敌人死亡,0.460,44100,1,2,res://src/assets/audio/sfx/enemy_die_v001.ogg
enemy_hit,enemy_hit.wav,enemy_hit_v001.ogg,正式接入,敌人受击,0.130,44100,1,2,res://src/assets/audio/sfx/enemy_hit_v001.ogg
extraction_abort,extraction_abort.wav,extraction_abort_v001.ogg,正式接入,撤离中断,0.620,44100,1,2,res://src/assets/audio/sfx/extraction_abort_v001.ogg
extraction_done,extraction_done.wav,extraction_done_v001.ogg,正式接入,撤离成功,1.050,44100,1,2,res://src/assets/audio/sfx/extraction_done_v001.ogg
extraction_start,extraction_start.wav,extraction_start_v001.ogg,正式接入,撤离开始,1.150,44100,1,2,res://src/assets/audio/sfx/extraction_start_v001.ogg
fate_card,fate_card.wav,fate_card_v001.ogg,正式接入,命运卡生效,0.860,44100,1,2,res://src/assets/audio/sfx/fate_card_v001.ogg
item_pickup,item_pickup.wav,item_pickup_v001.ogg,正式接入,普通物品拾取,0.250,44100,1,2,res://src/assets/audio/sfx/item_pickup_v001.ogg
laser_fire,laser_fire.wav,laser_fire_v001.ogg,正式接入,能量武器射击,0.240,44100,1,2,res://src/assets/audio/sfx/laser_fire_v001.ogg
melee_impact,melee_impact.wav,melee_impact_v001.ogg,正式接入,近战命中主层,0.441,44100,1,2,res://src/assets/audio/sfx/melee_impact_v001.ogg
melee_swing,melee_swing.wav,melee_swing_v001.ogg,正式接入,近战挥砍空气层,0.361,44100,1,2,res://src/assets/audio/sfx/melee_swing_v001.ogg
merchant_purchase,merchant_purchase.wav,merchant_purchase_v001.ogg,正式接入,购买成功,0.420,44100,1,2,res://src/assets/audio/sfx/merchant_purchase_v001.ogg
pistol_fire,pistol_fire.wav,pistol_fire_v001.ogg,正式接入,手枪射击,0.190,44100,1,2,res://src/assets/audio/sfx/pistol_fire_v001.ogg
player_dash,player_dash.wav,player_dash_v001.ogg,正式接入,玩家闪避,0.270,44100,1,2,res://src/assets/audio/sfx/player_dash_v001.ogg
player_hit,player_hit.wav,player_hit_v001.ogg,正式接入,玩家受伤,0.240,44100,1,2,res://src/assets/audio/sfx/player_hit_v001.ogg
reload,reload.wav,reload_v001.ogg,正式接入,换弹,0.580,44100,1,2,res://src/assets/audio/sfx/reload_v001.ogg
rifle_fire,rifle_fire.wav,rifle_fire_v001.ogg,正式接入,步枪射击,0.160,44100,1,2,res://src/assets/audio/sfx/rifle_fire_v001.ogg
shotgun_fire,shotgun_fire.wav,shotgun_fire_v001.ogg,正式接入,霰弹枪射击,0.320,44100,1,2,res://src/assets/audio/sfx/shotgun_fire_v001.ogg
smg_fire,smg_fire.wav,smg_fire_v001.ogg,正式接入,冲锋枪射击,0.110,44100,1,2,res://src/assets/audio/sfx/smg_fire_v001.ogg
sniper_fire,sniper_fire.wav,sniper_fire_v001.ogg,正式接入,狙击枪射击,0.480,44100,1,2,res://src/assets/audio/sfx/sniper_fire_v001.ogg
soul_pickup,soul_pickup.wav,soul_pickup_v001.ogg,正式接入,魂球拾取,0.370,44100,1,2,res://src/assets/audio/sfx/soul_pickup_v001.ogg
ui_click,ui_click.wav,ui_click_v001.ogg,正式接入,按钮确认,0.110,44100,1,2,res://src/assets/audio/sfx/ui_click_v001.ogg
ui_error,ui_error.wav,ui_error_v001.ogg,正式接入,操作失败,0.280,44100,1,2,res://src/assets/audio/sfx/ui_error_v001.ogg
ui_hover,ui_hover.wav,ui_hover_v001.ogg,正式接入,重要按钮悬停,0.075,44100,1,2,res://src/assets/audio/sfx/ui_hover_v001.ogg
wave_clear,wave_clear.wav,wave_clear_v001.ogg,正式接入,波次完成,0.620,44100,1,2,res://src/assets/audio/sfx/wave_clear_v001.ogg
wave_start,wave_start.wav,wave_start_v001.ogg,正式接入,波次开始,0.640,44100,1,2,res://src/assets/audio/sfx/wave_start_v001.ogg
